Time,Z-axis,Y-axis,X-axis,Battery,Celsius,EDA(uS),Event
20:54.031,-0.1,0.46,-0.85,-1,34.3,0.268,0
20:54.062,-0.1,0.46,-0.86,-1,34.3,0.268,0
20:54.093,-0.11,0.47,-0.85,-1,34.3,0.268,0
20:54.125,-0.12,0.46,-0.84,-1,34.3,0.268,0
20:54.156,-0.13,0.45,-0.82,-1,34.3,0.268,0
20:54.187,-0.13,0.44,-0.83,-1,34.3,0.268,0
20:54.218,-0.13,0.44,-0.82,-1,34.3,0.268,0
20:54.250,-0.14,0.44,-0.82,-1,34.3,0.268,0
20:54.281,-0.14,0.41,-0.79,-1,34.3,0.268,0
20:54.312,-0.16,0.41,-0.76,-1,34.3,0.268,0
20:54.343,-0.16,0.42,-0.71,-1,34.3,0.268,0
20:54.375,-0.18,0.4,-0.68,-1,34.3,0.268,0
20:54.406,-0.18,0.38,-0.69,-1,34.3,0.268,0
20:54.437,-0.13,0.39,-0.69,-1,34.3,0.268,0
20:54.468,-0.1,0.42,-0.73,-1,34.3,0.268,0
20:54.500,-0.11,0.41,-0.7,-1,34.3,0.266,0
20:54.531,-0.14,0.38,-0.68,-1,34.3,0.268,0
20:54.562,-0.12,0.38,-0.66,-1,34.3,0.268,0
20:54.593,-0.07,0.49,-0.84,-1,34.3,0.268,0
20:54.625,0.04,0.46,-0.87,-1,34.3,0.266,0
20:54.656,0.05,0.4,-1.07,-1,34.3,0.268,0
20:54.687,0.05,0.91,-1.32,-1,34.3,0.268,0
20:54.718,-0.1,0.61,-1.06,-1,34.3,0.266,0
20:54.750,-0.01,0.42,-0.92,-1,34.3,0.266,0
20:54.781,0.05,0.32,-0.77,-1,34.3,0.266,0
20:54.812,0.03,0.48,-0.85,-1,34.3,0.266,0
20:54.843,-0.02,0.47,-0.9,-1,34.3,0.266,0
20:54.875,-0.05,0.39,-0.83,-1,34.3,0.263,0
20:54.906,-0.06,0.43,-0.81,-1,34.3,0.263,0
20:54.937,-0.08,0.44,-0.81,-1,34.3,0.263,0
20:54.968,-0.1,0.4,-0.78,-1,34.3,0.266,0
20:55.000,-0.13,0.38,-0.72,-1,34.5,0.264,0
20:55.031,-0.14,0.39,-0.71,-1,34.5,0.263,0
20:55.062,-0.15,0.38,-0.69,-1,34.5,0.263,0
20:55.093,-0.18,0.37,-0.7,-1,34.5,0.263,0
20:55.125,-0.15,0.35,-0.66,-1,34.5,0.263,0
20:55.156,-0.15,0.36,-0.68,-1,34.5,0.263,0
20:55.187,-0.14,0.39,-0.69,-1,34.5,0.266,0
20:55.218,-0.15,0.37,-0.66,-1,34.5,0.263,0
20:55.250,-0.14,0.32,-0.59,-1,34.5,0.263,0
20:55.281,-0.11,0.44,-0.75,-1,34.5,0.263,0
20:55.312,0.27,0.25,-1.05,-1,34.5,0.261,0
20:55.343,0.3,0.92,-1.46,-1,34.5,0.261,0
20:55.375,0,0.57,-1.05,-1,34.5,0.261,0
20:55.406,-0.02,0.34,-0.9,-1,34.5,0.261,0
20:55.437,-0.02,0.53,-0.83,-1,34.5,0.261,0
20:55.468,-0.1,0.46,-0.78,-1,34.5,0.261,0
20:55.500,-0.09,0.33,-0.72,-1,34.5,0.261,0
20:55.531,-0.09,0.36,-0.71,-1,34.5,0.261,0
20:55.562,-0.11,0.39,-0.72,-1,34.5,0.259,0
20:55.593,-0.12,0.34,-0.75,-1,34.3,0.26,0
20:55.625,-0.11,0.36,-0.75,-1,34.3,0.258,0
20:55.656,-0.12,0.41,-0.78,-1,34.3,0.261,0
20:55.687,-0.13,0.41,-0.77,-1,34.3,0.261,0
20:55.718,-0.14,0.4,-0.76,-1,34.3,0.261,0
20:55.750,-0.14,0.43,-0.75,-1,34.3,0.261,0
20:55.781,-0.14,0.44,-0.76,-1,34.3,0.261,0
20:55.812,-0.12,0.42,-0.8,-1,34.3,0.259,0
20:55.843,-0.11,0.43,-0.81,-1,34.3,0.261,0
20:55.875,-0.12,0.45,-0.81,-1,34.3,0.261,0
20:55.906,-0.1,0.43,-0.82,-1,34.3,0.259,0
20:55.937,-0.1,0.41,-0.8,-1,34.3,0.259,0
20:55.968,-0.11,0.43,-0.77,-1,34.3,0.259,0
20:56.000,-0.12,0.39,-0.7,-1,34.3,0.259,0
20:56.031,-0.13,0.38,-0.65,-1,34.3,0.259,0
20:56.062,-0.15,0.43,-0.72,-1,34.3,0.259,0
20:56.093,0.2,0.14,-1.04,-1,34.3,0.259,0
20:56.125,0.13,0.91,-1.39,-1,34.3,0.259,0
20:56.156,0.04,0.35,-1.04,-1,34.3,0.259,0
20:56.187,0.06,0.35,-0.89,-1,34.3,0.259,0
20:56.218,-0.02,0.56,-0.77,-1,34.3,0.259,0
20:56.250,-0.07,0.37,-0.67,-1,34.3,0.259,0
20:56.281,-0.07,0.27,-0.64,-1,34.3,0.259,0
20:56.312,-0.09,0.38,-0.69,-1,34.3,0.256,0
20:56.343,-0.11,0.4,-0.72,-1,34.3,0.256,0
20:56.375,-0.13,0.33,-0.74,-1,34.3,0.259,0
20:56.406,-0.14,0.38,-0.8,-1,34.3,0.259,0
20:56.437,-0.11,0.45,-0.84,-1,34.3,0.259,0
20:56.468,-0.1,0.42,-0.84,-1,34.3,0.256,0
20:56.500,-0.12,0.44,-0.81,-1,34.3,0.259,0
20:56.531,-0.13,0.43,-0.79,-1,34.3,0.259,0
20:56.562,-0.12,0.43,-0.8,-1,34.3,0.259,0
20:56.593,-0.1,0.43,-0.8,-1,34.3,0.256,0
20:56.625,-0.1,0.43,-0.81,-1,34.3,0.259,0
20:56.656,-0.09,0.41,-0.8,-1,34.3,0.256,0
20:56.687,-0.08,0.4,-0.78,-1,34.3,0.259,0
20:56.718,-0.09,0.41,-0.77,-1,34.3,0.259,0
20:56.750,-0.09,0.36,-0.72,-1,34.3,0.254,0
20:56.781,-0.15,0.34,-0.63,-1,34.3,0.256,0
20:56.812,-0.12,0.51,-0.57,-1,34.3,0.256,0
20:56.843,-0.09,0.62,-1.53,-1,34.3,0.254,0
20:56.875,0.14,0.77,-1.17,-1,34.3,0.254,0
20:56.906,0.04,0.21,-0.86,-1,34.3,0.254,0
20:56.937,0,0.54,-0.9,-1,34.3,0.254,0
20:56.968,-0.06,0.5,-0.78,-1,34.3,0.254,0
20:57.000,-0.09,0.32,-0.65,-1,34.3,0.254,0
20:57.031,-0.09,0.38,-0.67,-1,34.3,0.254,0
20:57.062,-0.12,0.36,-0.72,-1,34.3,0.254,0
20:57.093,-0.12,0.43,-0.74,-1,34.3,0.251,0
20:57.125,-0.14,0.43,-0.8,-1,34.3,0.254,0
20:57.156,-0.13,0.44,-0.82,-1,34.3,0.251,0
20:57.187,-0.14,0.41,-0.8,-1,34.3,0.254,0
20:57.218,-0.15,0.46,-0.8,-1,34.3,0.254,0
20:57.250,-0.14,0.43,-0.79,-1,34.3,0.254,0
20:57.281,-0.12,0.41,-0.77,-1,34.3,0.254,0
20:57.312,-0.12,0.46,-0.83,-1,34.3,0.254,0
20:57.343,-0.1,0.42,-0.81,-1,34.3,0.254,0
20:57.375,-0.1,0.44,-0.84,-1,34.3,0.254,0
20:57.406,-0.1,0.44,-0.85,-1,34.3,0.254,0
20:57.437,-0.1,0.42,-0.83,-1,34.3,0.254,0
20:57.468,-0.11,0.44,-0.82,-1,34.3,0.254,0
20:57.500,-0.12,0.42,-0.81,-1,34.3,0.254,0
20:57.531,-0.12,0.44,-0.81,-1,34.3,0.251,0
20:57.562,-0.1,0.44,-0.8,-1,34.3,0.254,0
20:57.593,-0.1,0.45,-0.83,-1,34.3,0.254,0
20:57.625,-0.1,0.43,-0.81,-1,34.3,0.254,0
20:57.656,-0.11,0.46,-0.82,-1,34.3,0.254,0
20:57.687,-0.11,0.43,-0.83,-1,34.3,0.251,0
20:57.718,-0.11,0.42,-0.79,-1,34.3,0.251,0
20:57.750,-0.11,0.44,-0.82,-1,34.3,0.251,0
20:57.781,-0.1,0.42,-0.79,-1,34.3,0.251,0
20:57.812,-0.11,0.46,-0.82,-1,34.3,0.251,0
20:57.843,-0.11,0.43,-0.84,-1,34.3,0.254,0
20:57.875,-0.11,0.41,-0.8,-1,34.3,0.251,0
20:57.906,-0.12,0.45,-0.82,-1,34.3,0.251,0
20:57.937,-0.13,0.42,-0.79,-1,34.3,0.251,0
20:57.968,-0.11,0.43,-0.8,-1,34.3,0.251,0
20:58.000,-0.11,0.44,-0.85,-1,34.3,0.251,0
20:58.031,-0.11,0.41,-0.81,-1,34.3,0.251,0
20:58.062,-0.13,0.43,-0.82,-1,34.3,0.251,0
20:58.093,-0.13,0.42,-0.79,-1,34.3,0.251,0
20:58.125,-0.11,0.43,-0.81,-1,34.3,0.251,0
20:58.156,-0.11,0.43,-0.83,-1,34.3,0.251,0
20:58.187,-0.12,0.41,-0.8,-1,34.3,0.251,0
20:58.218,-0.12,0.45,-0.81,-1,34.3,0.251,0
20:58.250,-0.12,0.43,-0.81,-1,34.3,0.251,0
20:58.281,-0.11,0.43,-0.83,-1,34.3,0.251,0
20:58.312,-0.12,0.43,-0.82,-1,34.3,0.251,0
20:58.343,-0.12,0.44,-0.8,-1,34.3,0.249,0
20:58.375,-0.12,0.43,-0.82,-1,34.3,0.249,0
20:58.406,-0.12,0.42,-0.8,-1,34.3,0.251,0
20:58.437,-0.13,0.43,-0.82,-1,34.3,0.251,0
20:58.468,-0.12,0.41,-0.81,-1,34.3,0.249,0
20:58.500,-0.12,0.44,-0.82,-1,34.3,0.249,0
20:58.531,-0.12,0.42,-0.8,-1,34.3,0.249,0
20:58.562,-0.13,0.42,-0.79,-1,34.3,0.249,0
20:58.593,-0.13,0.45,-0.82,-1,34.3,0.249,0
20:58.625,-0.13,0.44,-0.81,-1,34.3,0.249,0
20:58.656,-0.13,0.43,-0.8,-1,34.3,0.246,0
20:58.687,-0.13,0.44,-0.81,-1,34.3,0.249,0
